filename,text,valence
bicycling_bnffyo.csv,Guess your bike is steal worthy.  You got that going for ya!,0.6739367842674255
bicycling_bnffyo.csv,"Good to know that chain held out, but I bit longer and your bike would have been gone",0.9567567706108093
bicycling_bnffyo.csv,"This is why I use two locks. People give me shit for it, but if you use two they have to cut two. Chances are (for me at least) that there's another bike nearby with only 1 lock. Doesn't mean it won't happen, but I think it helps.",0.9781813025474548
bicycling_bnffyo.csv,Theivin cunt fuckin bastard reject cocksacks.,0.6964665055274963
bicycling_bnffyo.csv,"Oh dude! Co-worker posits they broke one side, and the second broke their bolt cutters.",0.9984869956970215
bicycling_bnffyo.csv,Great abus advertisement,0.9842202663421631
bicycling_bnffyo.csv,I'm glad they weren't successful,0.8897353410720825
bicycling_bnffyo.csv,Nice to see the other side...a successful deterrence!,0.5215232968330383
bicycling_bnffyo.csv,That's almost as viscerally terrifying as discovering a new spot on your scrotum.,0.9994340538978577
bicycling_bnffyo.csv,Found the Abus viral marketer ;)  Abus locks are the real deal.,0.9713032245635986
bicycling_bnffyo.csv,Just curious what size links that chain has?  I use a similar one for my cargo bike.,0.9722466468811035
bicycling_bnffyo.csv,Good old square link chains. Difficult for bolt cutters to grab.,0.8030107021331787
bicycling_bnffyo.csv,>Many of life's failures are people who did not realize how close they were to success when they gave up.   Thomas A. Edison,0.5209221243858337
bicycling_bnffyo.csv,"I have that same lock, makes me feel better about it knowing somebody tried hard and gave up",0.8191829323768616
bicycling_bnffyo.csv,Good thing they chose to cut right on the logo otherwise how would we all know which brand to buy.,0.9982221722602844
bicycling_bnffyo.csv,This is why you need to buy a good lock! If that was some cheap cable lock your bike would've been gone in a second,0.8760144114494324
bicycling_bnffyo.csv,And that's why you never go cheap on locks!,0.9242625832557678
bicycling_bnffyo.csv,"Wow. Glad it worked for you. I have the same lock, feels nice to know it's safe.",0.9769883751869202
bicycling_bnffyo.csv,Man I had a heart attack for a sec— I thought the bottom pic was your front fork at a quick glance lmao. Glad the chain held up for you.,0.9998552799224854
bicycling_bnffyo.csv,"Dang, we always talk about how heavier duty stuff will just ""slow them down"" but there it is.",0.697494387626648
bicycling_bnffyo.csv,I started a holiday in San Fran with gf and we decided to buy Craigslist bikes for the 2mths we were in the US. Took over a cable lock with us naively and locked up the 2 bikes in down town SF. They lasted less than an hour. Really soured SF for us.,0.9940264225006104
bicycling_bnffyo.csv,"And my bike *did* get stolen today! Must have gave up on yours and found my $10 lock and snipped through it with playdoh scissors.  Thankfully, in a unforeseen move, he left his bike behind and it seems OK. Just a Walmart bike, but it's new and a flat bar road bike. Basically a lateral move for me. My bike was a 7 year old trek that was getting a bit busted. Worth the same as the bike they left behind.",0.9998694658279419
bicycling_bnffyo.csv,This does not look like the work of ['The Lock Picking Lawyer'](https://www.youtube.com/channel/UCm9K6rby98W8JigLoZOh6FQ),0.9924150109291077
bicycling_bnffyo.csv,Worthless pigs!,0.9454600811004639
bicycling_bnffyo.csv,I have the same chain! This makes me feel like it was the right purchase. Lol.,0.667392373085022
bicycling_bnffyo.csv,Damn. Looks like an angle grinder attack possibly,0.7963378429412842
bicycling_bnffyo.csv,"I have way too much money invested in my dream bike to let some fool steal it. If I ride into town to grab a candy bar I use a cable lock through any  iron fence that’s solid, both wheels and parts of the frame and an Abus D lock through the back tire and the down tube. I throw all of the locks in a small backpack it’s a little heavy, but really not much of burden.",0.9976811408996582
bicycling_bnffyo.csv,Someone Abused ABUS,0.8479521870613098
bicycling_bnffyo.csv,"You carry that thing with you ? Wow I have a similar one but I only use it to lock the bike in my shed   Get an ulock, the only way to get through those is an angle grinder.",0.9950085878372192
bicycling_bnffyo.csv,I have the same lock,0.8674257397651672
bicycling_bnffyo.csv,Well I just bought and Abus chain as a second lock. Maybe it should be my first lock!,0.8110657334327698
bicycling_bnffyo.csv,Nice lock. Abus-Abloy doesn't screw around.,0.7032283544540405
bicycling_bnffyo.csv,I've had two bikes stolen from where I chained them up when going to school so I stopped riding,0.8993468284606934
bicycling_bnffyo.csv,yeah imma lock my bike on two of these,0.9992157220840454
